City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,priargunsk,50.3691,119.1012,283.09,24,65,5.57,RU,1714106244
83,karratha,-20.7377,116.8463,304.89,31,100,7.07,AU,1714106244
84,stanley,54.868,-1.6985,274.1,94,20,3.09,GB,1714106032
85,garzon,2.1959,-75.6278,295.28,97,75,1.28,CO,1714106245
86,poretskoye,55.1974,46.3291,285.64,83,100,5.7,RU,1714106245
87,constitucion,-35.3333,-72.4167,285.29,88,100,0.72,CL,1714106246
88,invercargill,-46.4,168.35,281.49,81,99,2.68,NZ,1714106149
89,keelung,25.1283,121.7419,298.2,92,100,3.4,TW,1714106247
90,bilibino,68.0546,166.4372,270.12,77,69,1.2,RU,1714105944
91,constantia,44.1833,28.65,284.65,86,31,6.35,RO,1714106247
92,yellowknife,62.456,-114.3525,267.44,87,20,11.32,CA,1714106060
93,sao joao da ponte,-15.9292,-44.0078,293.42,73,58,2.04,BR,1714106248
94,lerwick,60.1545,-1.1494,276.15,80,99,1.3,GB,1714106156
95,masterton,-40.9597,175.6575,287.65,51,49,5.23,NZ,1714106249
96,puttalam,8.0362,79.8283,304.2,62,97,0.77,LK,1714106249
97,igarka,67.4667,86.5833,268.16,91,89,4.02,RU,1714106250
98,barrouallie,13.2333,-61.2667,297.12,80,84,4.14,VC,1714106250
99,akureyri,65.6835,-18.0878,274.11,93,100,2.57,IS,1714106250
100,dyersburg,36.0345,-89.3856,287.1,100,100,3.6,US,1714106251
101,hawaiian paradise park,19.5933,-154.9731,296.88,83,40,0.45,US,1714106143
102,sanctuary point,-35.1114,150.629,293.01,52,0,3.43,AU,1714106251
103,letlhakane,-21.4167,25.5833,292.58,47,0,4.49,BW,1714106252
104,vorkuta,67.5,64.0,268.21,93,100,3.13,RU,1714106008
105,santa ana,33.7456,-117.8678,289.1,76,75,3.09,US,1714106253
106,argo,37.6333,22.7333,284.82,65,16,2.1,GR,1714106253
107,badger,64.8,-147.5333,289.29,26,40,0.0,US,1714106151
108,huarmey,-10.0681,-78.1522,293.89,86,49,3.63,PE,1714106254
109,aral,40.5156,81.2636,299.87,14,100,5.33,CN,1714106254
110,valognes,49.5088,-1.4705,281.81,93,100,2.06,FR,1714106254
111,qaqortoq,60.7167,-46.0333,277.0,91,100,3.86,GL,1714106139
112,fuxin,42.0156,121.6589,293.01,44,99,2.64,CN,1714106255
113,nikel,69.4128,30.222,274.25,91,100,1.09,RU,1714106256
114,tiksi,71.6872,128.8694,262.29,80,99,5.03,RU,1714106144
115,longyearbyen,78.2186,15.6401,269.06,74,0,4.12,SJ,1714106158
116,khodzha-maston,38.7446,68.627,280.83,96,100,0.9,TJ,1714106257
117,chato,-2.6378,31.7669,292.15,97,100,2.08,TZ,1714106257
118,iqaluit,63.7506,-68.5145,260.0,66,100,8.23,CA,1714106142
119,tondano,1.3038,124.9112,303.2,55,24,2.13,ID,1714106258
120,nanzhang chengguanzhen,31.7839,111.8275,302.14,35,0,2.59,CN,1714106258
121,island harbour,50.724,-1.2758,280.63,88,100,4.69,GB,1714106259
122,keflavik,64.0049,-22.5624,276.39,75,0,6.17,IS,1714106175
123,tirebolu,41.0069,38.8139,297.22,49,100,3.64,TR,1714106259
124,avarua,-21.2078,-159.775,299.18,73,75,4.63,CK,1714106146
125,newman,37.3138,-121.0208,290.28,62,90,3.13,US,1714106145
126,olonkinbyen,70.9221,-8.7187,271.6,81,97,6.96,SJ,1714106178
127,caluula,11.9661,50.7569,303.53,60,53,4.08,SO,1714106261
128,antsiranana,-12.2787,49.2917,300.61,78,54,6.53,MG,1714106261
129,tazovsky,67.4667,78.7,270.36,86,100,5.08,RU,1714106021
130,laguna,38.421,-121.4238,289.22,79,100,5.14,US,1714106262
131,bochum,51.4833,7.2167,280.79,74,99,1.79,DE,1714106080
132,fale old settlement,-9.3852,-171.2468,302.63,75,28,5.37,TK,1714106263
133,dudinka,69.4058,86.1778,260.16,92,98,3.06,RU,1714106176
134,mercedes,-34.6515,-59.4307,289.18,96,99,2.59,AR,1714106086
135,hithadhoo,-0.6,73.0833,302.42,77,83,3.23,MV,1714106264
136,margaret river,-33.95,115.0667,293.97,54,1,3.88,AU,1714106168
137,bontang,0.1333,117.5,302.68,70,76,4.83,ID,1714106264
138,lexington,37.9887,-84.4777,284.15,58,0,4.12,US,1714105627
139,atuntaqui,0.3333,-78.2167,286.05,91,73,1.52,EC,1714106265
140,nay pyi taw,19.745,96.1297,313.72,22,1,1.36,MM,1714106266
141,morehead city,34.7229,-76.726,286.5,86,100,6.71,US,1714106264
142,enewetak,11.3474,162.3373,300.6,77,91,9.42,MH,1714106266
143,preston,53.7667,-2.7167,275.14,89,9,2.24,GB,1714106267
144,ancud,-41.8697,-73.8203,281.63,64,86,7.16,CL,1714106147
145,sisimiut,66.9395,-53.6735,274.16,82,100,2.51,GL,1714106267
146,anadyr,64.75,177.4833,273.43,93,100,2.0,RU,1714106197
147,caninde de sao francisco,-9.66,-37.7894,296.8,98,9,1.44,BR,1714106268
148,luderitz,-26.6481,15.1594,288.05,79,66,6.1,NA,1714106188
149,arafat,21.3594,39.9664,306.77,24,40,1.18,SA,1714106269
150,ploneour-lanvern,47.9,-4.2833,282.31,100,75,0.51,FR,1714106269
151,morant bay,17.8815,-76.4093,301.94,86,100,4.61,JM,1714106270
152,taro,-8.3862,115.28,299.18,62,100,1.04,ID,1714106270
153,hammerfest,70.6634,23.6821,272.4,74,0,0.0,NO,1714106270
154,cuito,-12.3833,16.9333,284.56,63,92,1.01,AO,1714106173
155,maintirano,-18.0667,44.0167,299.35,79,60,4.01,MG,1714106271
156,north walsham,52.8212,1.3875,277.56,92,40,3.6,GB,1714106271
157,bundibugyo,0.7414,30.0417,295.22,74,99,0.35,UG,1714106272
158,bokoro,12.3807,17.0568,303.97,13,6,2.25,TD,1714106272
159,trogir,43.5125,16.2517,281.37,81,0,2.06,HR,1714106133
160,meadow lake,34.8014,-106.5436,287.1,43,83,4.97,US,1714106273
161,columbia falls,48.3725,-114.1815,283.12,62,0,0.0,US,1714106274
162,sol'-iletsk,51.1631,54.9918,290.09,60,67,3.95,RU,1714106274
163,la palma,33.8464,-118.0467,289.25,79,75,2.06,US,1714106274
164,i-n-salah,27.1935,2.4607,298.61,14,11,4.17,DZ,1714106275
165,tongchuanshi,35.0806,109.0897,300.09,33,1,3.76,CN,1714106276
166,zhanaozen,43.3,52.8,294.98,40,1,5.09,KZ,1714106276
167,yuzhno-kurilsk,44.0306,145.8556,286.69,66,3,2.2,RU,1714106276
168,nizhnekamsk,55.6366,51.8245,284.59,62,0,5.0,RU,1714106277
169,turuntayevo,52.2,107.6167,279.2,55,97,5.9,RU,1714106277
170,taoudenni,22.6783,-3.9836,301.55,12,32,4.22,ML,1714106184
171,castillos,-34.1667,-53.8333,288.76,88,77,2.38,UY,1714106197
172,grand falls-windsor,48.9332,-55.6649,273.99,72,54,1.34,CA,1714106279
173,puerto carreno,6.189,-67.4859,299.67,85,76,2.41,CO,1714106279
174,polyarnyy,69.1989,33.4478,273.65,98,100,2.21,RU,1714106279
175,beyneu,45.3167,55.2,295.59,40,0,8.12,KZ,1714106280
176,kapa'a,22.0752,-159.319,300.14,73,75,7.2,US,1714106273
177,tarnogskiy gorodok,60.4997,43.5761,286.33,84,100,2.67,RU,1714106281
178,sandnessjoen,66.0217,12.6316,277.27,56,20,3.6,NO,1714106281
179,mizdah,31.4451,12.9801,284.04,67,55,5.26,LY,1714106282
180,leava,-14.3,-178.1667,302.57,71,31,4.93,WF,1714106282
181,lihue,21.9789,-159.3672,299.73,73,75,7.2,US,1714106280
182,kamikawa,43.84,142.7711,293.3,59,1,6.04,JP,1714106283
183,utrik,11.2278,169.8474,300.39,75,83,9.01,MH,1714106283
184,luau,-10.7073,22.2247,288.01,73,94,0.77,AO,1714106284
185,luebo,-5.35,21.4167,293.73,98,100,1.32,CD,1714106284
186,kill devil hills,36.0307,-75.676,284.25,91,100,5.14,US,1714105995
187,martakert,40.2104,46.821,292.01,56,21,2.36,AZ,1714106285
188,blackwater,-23.5833,148.8833,300.72,28,39,3.86,AU,1714106285
189,alice springs,-23.7,133.8833,292.9,26,64,6.69,AU,1714106286
190,novyy turtkul',41.55,61.0167,294.1,34,1,3.79,UZ,1714106286
191,vylkove,45.4021,29.586,285.58,81,71,5.0,UA,1714106286
192,inebolu,41.9747,33.7608,292.82,54,94,2.14,TR,1714106287
193,san patricio,28.017,-97.5169,298.2,91,100,8.15,US,1714106135
194,tura,25.5198,90.2201,310.41,19,0,2.8,IN,1714106270
